id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
164,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CABE RAWIT,1350.0,TON,2013
165,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JAMUR,11278.0,TON,2013
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KACANG MERAH,261.0,TON,2013
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KACANG PANJANG,1902.0,TON,2013
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KANGKUNG,1897.0,TON,2013
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMBANG KOL,310.0,TON,2013
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KENTANG,0.0,TON,2013
171,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KETIMUN,2595.0,TON,2013
172,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUBIS,785.0,TON,2013
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LABU SIAM,226.0,TON,2013
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LOBAK,54.0,TON,2013
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MELON,0.0,TON,2013
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PAPRIKA,0.0,TON,2013
177,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PETSAI/SAWI,1113.0,TON,2013
178,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEMANGKA,0.0,TON,2013
179,32,JAWA BARAT,3207,KABUPATEN CIAMIS,STROBERI,0.0,TON,2013
180,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TERUNG,1429.0,TON,2013
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TOMAT,2437.0,TON,2013
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,WORTEL,159.0,TON,2013
183,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAWANG DAUN,23499.0,TON,2013
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAWANG MERAH,2218.0,TON,2013
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAWANG PUTIH,0.0,TON,2013
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYAM,0.0,TON,2013
187,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BLEWAH,0.0,TON,2013
188,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUNCIS,492.0,TON,2013
189,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CABE BESAR,402.0,TON,2013
190,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CABE RAWIT,3383.0,TON,2013
191,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JAMUR,178170.0,TON,2013
192,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KACANG MERAH,8.0,TON,2013
